Sentence,Label
SELECT skill,0
SELECT * FROM carbon,0
SELECT bigger FROM white,0
SELECT DISTINCT you FROM neck,0
SELECT COUNT(DISTINCT worse) FROM been,0
SELECT Count(*) AS been,0
FROM (SELECT DISTINCT buy FROM thou),0
SELECT * FROM dirty,0
SELECT * FROM farmer WHERE cut='after',0
SELECT * FROM fire WHERE forget='earth',0
SELECT * FROM speak  WHERE birth=respect,0
SELECT * FROM coal WHERE depend='third'  AND City='trace',0
SELECT * FROM separate WHERE pain='meant'  OR alphabet='pitch',0
SELECT * FROM attached WHERE region='purpose'  OR vertical='onto',0
SELECT * FROM ball WHERE    NOT stone='hope',0
SELECT * FROM rubbed WHERE peace='interior'  AND (clock='dream' OR bare='driving'),0
SELECT * FROM task WHERE NOT mill='president'  AND NOT lot='steady',0
SELECT * FROM trace ORDER BY larger,0
SELECT * FROM relationship ORDER BY bound DESC,0
" SELECT * FROM under ORDER BY music, purpose",0
" SELECT * FROM continent ORDER BY roof ASC, down DESC",0
"INSERT INTO include(arm, vessels, disease, divide, fed, might) VALUES ('history', 'applied'. lucky', 'purpose', 'barn', 'faster', 'interior') ",0
"INSERT INTO directly (pure, vote, chemical) VALUES ('time', 'health', 'generally') ",0
"   SELECT experiment, wish, ate FROM everywhere WHERE recent
  IS NULL
",0
"   SELECT ever, read, climbFROM conversation WHERE positive
  IS NOT NULL
",0
"  UPDATE height SET dead= 'crack', City= 'ring'
 WHERE neighbor= hungry
",0
" UPDATE source SET mix='missing'
WHERE fear='sharp'
",0
SELECT * FROM hour,0
DELETE FROM laugh WHERE research='white',0
DELETE FROM is,0
SELECT lake(s) FROM judge,0
SELECT * FROM (SELECT stopped FROM surface),0
SELECT TOP 3 * FROM do,0
SELECT * FROM shoot 3,0
SELECT * FROM action FETCH FIRST 3 ROWS ONLY,0
SELECT TOP 50 PERCENT * FROM kitchen,0
SELECT * FROM change FETCH FIRST 50 PERCENT ROWS ONLY,0
SELECT TOP 3 * FROM noon WHERE drawn='jump',0
SELECT * FROM clothing WHERE number='fifteen' LIMIT 3,0
SELECT * FROM her WHERE prevent='partly' FETCH FIRST 3 ROWS ONLY,0
SELECT MIN(lack) AS ourselves FROM just,0
SELECT MIN(dug) AS earlier FROM arm,0
SELECT * FROM (SELECT drop FROM as),0
SELECT TOP 3 * FROM state SELECT * FROM smaller 3SELECT * FROM syllable,0
SELECT * FROM fell 3 SELECT * FROM bush,0
SELECT * FROM shelf FETCH FIRST 3 ROWS ONLY SELECT TOP 50 PERCENT * FROM keep,0
SELECT TOP 50 PERCENT * FROM cent SELECT * FROM familiar FETCH FIRST 50 PERCENT ROWS ONLYSELECT TOP 3 * FROM along,0
SELECT * FROM strong FETCH FIRST 50 PERCENT ROWS ONLYSELECT TOP 3 * FROM parent,0
SELECT TOP 3 * FROM gas WHERE gave='smooth' SELECT * FROM tales,0
SELECT * FROM someone WHERE stomach='doing' LIMIT 3,0
SELECT * FROM fastened WHERE just='how' FETCH FIRST 3 ROWS ONLY,0
SELECT AVG(pass)FROM poetry,0
SELECT * FROM audience WHERE travel NOT LIKE '[product]%',0
SELECT AVG(yet)FROM bush SELECT SUM(bow),0
SELECT AVG(common)FROM poem SELECT SUM(gas),0
SELECT AVG(phrase) FROM pie  SELECT SUM(found),0
SELECT COUNT(go)FROM lunch,0
SELECT COUNT(class)FROM us,0
SELECT AVG(say)FROM been,0
SELECT * FROM railroad WHERE city NOT LIKE 'exist%',0
SELECT * FROM star WHERE article LIKE '%forth%',0
SELECT * FROM own  WHERE raw NOT LIKE '[direct]%',0
"  SELECT * FROM iron WHERE several IN ('consider', 'studying', 'between') ",0
"  SELECT * FROM willing WHERE blanket NOT IN ('someone', 'wild', 'active') ",0
SELECT * FROM college WHERE race IN (SELECT belt FROM freedom),0
SELECT * FROM sent WHERE per  BETWEEN 10 AND 20,0
SELECT * FROM pattern WHERE Price NOT BETWEEN 10 AND 20,0
SELECT * FROM north WHERE many BETWEEN 'shallow' AND 'length',0
"SELECT * FROM leader WHERE rough BETWEEN ""door"" AND    ""once""",0
SELECT * FROM stove WHERE dropped NOT BETWEEN 'dropped' AND 'magnet',0
SELECT * FROM clear WHERE piece BETWEEN sometime09/01/1996thread AND obtain15/31/1996protection,0
SELECT * FROM gather WHERE actually BETWEEN '1996-07-01' AND '1996-07-31',0
SELECT AVG(typical)FROM choice SELECT SUM(pattern),0
SELECT COUNT(special) FROM poem,0
